Batt_name,cycle,dateTime,amb_temp,sense_current_real,sense_current_img,battery_current_real,battery_current_img,current_ratio_real,current_ratio_img,battery_impedance_real,battery_impedance_img,re,rct
'B0005_10', 41, '2008-04-18 20:55:29', 24, -1.0, 1.0, -1.0, 1.0, 1.0, 0.0, -0.43892624830326377, -0.107298295835479, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 820.6094970703125, -36.23455047607422, 337.0914611816406, -82.9207763671875, 2.3204145178633437, 0.4633045948164565, 0.13008840651776496, -0.19711481029612374, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 827.2421875, -48.23122787475586, 330.6315612792969, -70.01371765136719, 2.424192647592199, 0.36746495469515333, 0.058770560504133235, 0.03330656583655633, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 827.1934814453125, -56.195716857910156, 330.8086242675781, -61.73442459106445, 2.4470021712116985, 0.28677775364826635, 0.0058135116366746726, -0.060546548141956195, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 824.9295043945312, -53.241477966308594, 332.68267822265625, -57.62901306152344, 2.434304977711638, 0.2616460702282485, 0.12608106668700975, -0.09044390544679616, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 824.9591674804688, -62.825408935546875, 333.5610046386719, -49.79308319091797, 2.4467809413248753, 0.176901248063198, 0.2210551920556118, -0.004125781015240486, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 824.055908203125, -61.66999053955078, 335.27301025390625, -50.34455490112305, 2.4306787628714024, 0.18105080942498905, 0.24487368984957383, 0.09777460899986783, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 822.727294921875, -66.03501892089844, 334.7919006347656, -44.279136657714844, 2.440820169245567, 0.1255776822268409, 0.23511369186962613, 0.16534777642566043, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 822.4074096679688, -65.79927062988281, 338.4878845214844, -44.111297607421875, 2.4139871837475755, 0.12019584249056443, 0.2237034830463142, 0.19445631937776975, 0.04466870036616091, 0.06945627304536996
'B0005_10', 41, '2008-04-18 20:55:29', 24, 821.6346435546875, -65.82272338867188, 337.3775939941406, -43.389068603515625, 2.420414631983808, 0.1161808425490975, 0.22135400804728403, 0.1936943606900116, 0.04466870036616091, 0.06945627304536996
