Batt_name,cycle,dateTime,amb_temp,voltage_battery,temp_battery,current_battery,time,Online_Capacity
1,1, '2008-04-02 15:25:41',24,2.75725191265608,38.668603538518,-2.01411159372913,3327.234,1.85648742
1,2, '2008-04-02 19:43:48',24,2.75786842219349,38.7078373480526,-2.01368630945163,3309.188,1.84639325801657
1,3, '2008-04-03 00:01:06',24,2.80980234292391,38.5428908871632,-2.01466844442368,3289.766,1.8355241217589
1,4, '2008-04-03 04:16:37',24,2.77358061133931,38.438970955748,-2.01233154049467,3289.86,1.83557666597135
1,5, '2008-04-03 08:33:25',24,2.74510081872137,38.3247518238195,-2.01290081408113,3287.938,1.83450200059227
1,6, '2008-04-03 12:55:10',24,2.73153213087054,38.4098746685307,-2.01502797168038,3289.531,1.83539365046974
1,7, '2008-04-03 17:17:16',24,2.71286779459578,38.4568149743051,-2.01050903595425,3288.75,1.83495748170389
1,8, '2008-04-03 21:28:14',24,2.82916599677176,38.2688701584939,-2.01280355041937,3271.906,1.82553979753631
1,9, '2008-04-04 01:38:15',24,2.79277522747907,38.2512128219587,-2.0106946903496,3270.187,1.82457969082167
1,10, '2008-04-04 05:48:08',24,2.76102813724738,38.2282489833267,-2.01261548437431,3270.594,1.82480722818338
1,11, '2008-04-04 09:57:19',24,2.70885114029053,38.1748437664361,-2.01500103849761,3270.609,1.82481562402104
1,12, '2008-04-04 17:56:27',24,2.82329372765337,38.2654338622879,-2.01362966178623,3251.313,1.81402256903386
1,13, '2008-04-04 22:01:54',24,2.77672575718759,38.2743769692816,-2.01216499134491,3251.188,1.81395270219388
1,14, '2008-04-05 02:20:26',24,2.74854949814594,38.1927939118158,-2.01224948335503,3250.641,1.81364695206405
1,15, '2008-04-05 06:25:01',24,2.85206980171835,37.9682199851909,-2.01087000010629,3231.484,1.80294633078849
1,16, '2008-04-05 10:30:32',24,2.81820339243858,37.9223261050061,-2.01163852284952,3230.391,1.80233557498141
1,17, '2008-04-05 14:34:41',24,2.77891931627549,38.0104037101192,-2.01259893740674,3230.781,1.80255360653296
1,18, '2008-04-05 18:39:25',24,2.72814914747812,38.1110228471569,-2.01396642148373,3231.515,1.8029642319089
1,19, '2008-04-05 22:46:35',24,2.70666931415065,38.140575688939,-2.01238003022702,3230.969,1.80265902093765
1,20, '2008-04-18 21:10:19',24,2.8076010640963,38.2157609667952,-2.01312759822902,3310.328,1.84703674123428
1,21, '2008-04-19 02:29:09',24,2.73453863105366,38.6923324072127,-2.01619095162335,3311.313,1.84758839348076
1,22, '2008-04-19 07:47:15',24,2.80526199956449,38.2694829625562,-2.01363996985384,3291.688,1.83661125892288
1,23, '2008-04-19 13:01:42',24,2.8515946185636,37.941113225424,-2.01193644963612,3272.86,1.82608883129128
1,24, '2008-04-19 18:27:29',24,2.80841839219406,37.9045344099365,-2.0162494020496,3271.5,1.82532713707273
1,25, '2008-04-19 23:41:55',24,2.73357468660276,37.9399155214009,-2.01179171366335,3272.5,1.8258859681043
1,26, '2008-04-20 04:54:41',24,2.84758544065218,37.7321509634764,-2.01340186313011,3251.563,1.81417635843531
1,27, '2008-04-20 10:16:28',24,2.76307719747552,37.7845784861252,-2.01189516721322,3252.937,1.81494423175747
1,28, '2008-04-20 15:37:05',24,2.71583943653575,37.8116019908858,-2.0139577274562,3251.203,1.81397417545208
1,29, '2008-04-20 20:50:38',24,2.8340036219974,37.7192740508938,-2.01091549885846,3231.109,1.80274991544261
1,30, '2008-04-21 02:15:02',24,2.75924779751179,37.8444271380594,-2.00919333412335,3233.641,1.80416304808761
1,31, '2008-04-22 15:33:49',24,2.72476415944368,38.2827355129923,-2.01297148913989,3317.218,1.85089585868424
1,32, '2008-04-22 20:26:18',24,2.72878381924187,38.2808055486561,-2.01351483202166,3279.812,1.82997432096018
1,33, '2008-04-23 01:18:11',24,2.74817909034246,38.0581652991684,-2.01284367260671,3260.734,1.81930736774185
1,34, '2008-04-23 06:18:19',24,2.76282083409631,37.7298682273826,-2.01140381429464,3242,1.80884024578157
1,35, '2008-04-23 11:08:00',24,2.71553020171004,37.6999805779566,-2.01203334364902,3233.672,1.80418574197993
1,36, '2008-04-23 16:06:25',24,2.75035076044077,38.2180071230516,-2.01250112961933,3223.766,1.79864800970493
1,37, '2008-04-23 21:02:58',24,2.78014072788077,37.8948214215837,-2.01328752508147,3204.578,1.78791718719625
1,38, '2008-04-24 01:51:33',24,2.750365797588,37.7554302470399,-2.01251961526487,3194.844,1.78247555776986
1,39, '2008-04-24 06:50:00',24,2.7791377646462,37.6119853489923,-2.01061226220088,3177.046,1.7725353141469
1,40, '2008-04-24 11:49:24',24,2.7096617581651,38.0725092530944,-2.01214224234537,3176.359,1.77215133033565
1,41, '2008-04-24 16:45:56',24,2.75195272212776,38.5364178099035,-2.01033386676398,3167.235,1.76705625083556
1,42, '2008-04-24 21:38:11',24,2.75383249346533,38.4864392961419,-2.01496519241114,3157.359,1.76152852965771
1,43, '2008-04-25 12:03:44',24,2.83351223864515,38.1789023761432,-2.0134034438034,3168.328,1.76766325809523
1,44, '2008-04-25 20:03:55',24,2.7319319278032,38.1122515731991,-2.01210820900037,3158.296,1.76205618321948
1,45, '2008-04-26 01:04:35',24,2.74370892185107,37.8715736945804,-2.01045718869525,3138.812,1.751175142146
1,46, '2008-04-26 05:57:35',24,2.76842395375148,37.6759076157277,-2.01328218673237,3120.796,1.74109978329151
1,47, '2008-04-26 10:58:25',24,2.74963517450468,37.9191614570094,-2.01363593876019,3110.641,1.73541965191425
1,48, '2008-04-29 12:15:56',24,2.70049616272764,40.4279662962378,-2.01381238616145,3213.953,1.79321159225845
1,49, '2008-04-29 17:05:27',24,2.7577514995472,39.6763644559334,-2.01030278640901,3195.266,1.78277644554467
1,50, '2008-04-29 22:00:04',24,2.75727250069356,38.9857265549321,-2.01180704196751,3167.157,1.76706814439393
1,51, '2008-04-30 02:43:55',24,2.71995731300174,38.6669258206908,-2.01306776942208,3148.844,1.75682778048798
1,52, '2008-04-30 07:41:42',24,2.74582795145205,38.3825372481061,-2.01294995714291,3130.297,1.74645717413933
1,53, '2008-04-30 12:28:49',24,2.70435704411542,38.6142310318476,-2.01116813811334,3120.844,1.74117618180333
1,54, '2008-04-30 17:20:16',24,2.70599485618049,39.050037294997,-2.01112164484092,3111.296,1.73584224028529
1,55, '2008-04-30 22:14:54',24,2.71491825040562,38.6311577040665,-2.01315456254607,3093.25,1.72575074383093
1,56, '2008-05-01 03:15:33',24,2.74344275692658,38.6318218946694,-2.01138519496453,3074.437,1.71523958003291
1,57, '2008-05-01 08:16:03',24,2.72940133777898,38.5572131020903,-2.01103571389061,3064.703,1.70980196291096
