Batt_name,cycle,dateTime,amb_temp,sense_current_real,sense_current_img,battery_current_real,battery_current_img,current_ratio_real,current_ratio_img,battery_impedance_real,battery_impedance_img,re,rct
'B0051_2', 1, '2010-08-23 18:25:01', 24, 925.837890625, -58.837989807128906, 230.5858917236328, -59.523677825927734, 3.8260664890426126, 0.7324973699156767, 0.22273321588427647, 0.062287808362893465, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 922.3645629882812, -64.10443115234375, 235.2323760986328, -53.823211669921875, 3.7852608315933454, 0.5935852289049803, 0.021985814017392157, 0.04357866234344036, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 921.736328125, -69.09569549560547, 235.44020080566406, -48.26311111450195, 3.8148053576569025, 0.4885260841929249, 0.018168075904905746, -0.09245073399433212, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 920.8461303710938, -72.25847625732422, 236.88150024414062, -46.543006896972656, 3.800582925116526, 0.4417064267621249, 0.13250361245847905, -0.15428111266862118, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 918.9769287109375, -66.49591064453125, 241.08189392089844, -43.9673957824707, 3.7378659663567353, 0.405871714746889, 0.2530067392632254, -0.1283936412403923, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 918.1784057617188, -67.57323455810547, 239.03500366210938, -41.981292724609375, 3.7744139081737647, 0.38020180807176196, 0.33424496215605287, -0.06160430451370442, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 917.1539916992188, -67.68161010742188, 241.6370086669922, -43.132911682128906, 3.7268345424374987, 0.38515463992397597, 0.3759300658409595, 0.007016482399275142, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 913.5780639648438, -68.08647918701172, 246.08872985839844, -44.34184265136719, 3.643937694655781, 0.37991350824800857, 0.3914244300007743, 0.05882164247692967, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 913.2003784179688, -66.2047119140625, 245.4286651611328, -43.89035415649414, 3.6522760706040467, 0.38339033560020847, 0.39266449239285456, 0.08924106042181058, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 908.78076171875, -64.30674743652344, 249.5786590576172, -45.58607864379883, 3.569245782300003, 0.3942691729573525, 0.38667887728062555, 0.1004648978056398, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 904.322021484375, -52.3370361328125, 254.96519470214844, -43.76636505126953, 3.4795530480288774, 0.39201567452859376, 0.376602712977234, 0.09710110291928203, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 903.2079467773438, -54.04474639892578, 257.36907958984375, -43.91096496582031, 3.444935230823573, 0.3777675390774679, 0.36351430395889817, 0.08413429881621465, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 899.6642456054688, -51.56265640258789, 261.033447265625, -44.050228118896484, 3.383527182510788, 0.37344826440690654, 0.34783015554803043, 0.06604647020331178, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 895.3358154296875, -49.11741256713867, 265.4903564453125, -47.16841125488281, 3.301056985719484, 0.40147673285842134, 0.33004520236317103, 0.04643925326413818, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 889.5689086914062, -49.741294860839844, 269.8412170410156, -47.58549880981445, 3.22873789268707, 0.3850405413529945, 0.31095827087637334, 0.027898447478108476, 0.0713694865779506, 0.21835138725756187
'B0051_2', 1, '2010-08-23 18:25:01', 24, 886.4647216796875, -28.163917541503906, 273.95587158203125, -39.998863220214844, 3.1829515718757024, 0.3619215257039354, 0.2915983650630465, 0.012020407976168995, 0.0713694865779506, 0.21835138725756187
