Batt_name,cycle,dateTime,amb_temp,voltage_battery,current_battery,temp_battery,voltage_load,current_load,time,Capacity
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.8000325140227753, 0.0013116512309689287, 9.13006459295357, 0.0, 0.0, 0.0, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.7994326196246813, -0.0011458247067896274, 9.141027636801121, 3.814, 0.0, 9.313000000000002, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.4208513261705646, -1.9904601456447135, 9.111380110221905, 2.248, 1.999, 19.406, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.3945989681602082, -1.9885023731011655, 9.154681576017486, 2.239, 1.999, 28.796999999999997, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.3730478248023026, -1.9877466773339338, 9.214162463891414, 2.227, 1.999, 38.141, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.353199434404643, -1.9871101637588027, 9.253504170820007, 2.201, 1.999, 47.563, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.3344484613647594, -1.9876321991469437, 9.380331760902502, 2.187, 1.999, 56.953, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.3165253156817642, -1.9893097553460652, 9.475669609471497, 2.171, 1.999, 66.235, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.2988115703584344, -1.9888603553856268, 9.637913855142607, 2.156, 1.999, 75.625, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.281397752976378, -1.98810362259563, 9.730736800596919, 2.145, 1.999, 85.0, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.263673706062799, -1.9872306907800223, 9.766357664859871, 2.135, 1.999, 94.344, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.245555533548357, -1.9875833581537068, 9.89320119495342, 2.12, 1.999, 103.75, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.2272818411898743, -1.9878118323900473, 9.96494813541232, 2.111, 1.999, 113.11, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.208954404897142, -1.9880051814004727, 10.068043426977088, 2.103, 1.999, 122.469, '0.64347356'
'B0051_2', 1, '2010-08-23 17:51:09', 4, 3.1902477271710183, -1.9881760808654216, 10.201368838906426, 2.091, 1.999, 131.86, '0.64347356'
