,Batt_name,cycle,dateTime,amb_temp,voltage_battery,current_battery,temp_battery,voltage_load,current_load,time,Capacity,H
0,B0005_10,1,2008-04-02 15:25:41,24,3.277169976825196,-0.006528351251606992,34.230852841540965,0.0,-0.0006,3690.2340000000004,1.85648742,2363.438
1,B0005_10,2,2008-04-02 19:43:48,24,3.3002448871222545,-0.0004475525791171869,34.392136587188695,0.0,-0.0006,3672.344,1.84632725,2384.922
2,B0005_10,3,2008-04-03 00:01:06,24,3.327451009868628,0.0010260185593644051,34.23277871576327,0.0,-0.0006,3651.6409999999996,1.83534919,2385.172
3,B0005_10,4,2008-04-03 04:16:37,24,3.314181858907029,-0.0022336216958504748,34.413449952605504,0.0,-0.0006,3631.563,1.83526253,2367.609
4,B0005_10,5,2008-04-03 08:33:25,24,3.30549673128648,9.237228410233749e-06,34.34588498997869,0.0,-0.0006,3629.172,1.83464551,2366.0310000000004
5,B0005_10,6,2008-04-03 12:55:10,24,3.3023291129737586,-0.003967230111555653,34.200926921005866,0.001,-0.0006,3652.281,1.83566166,2366.8599999999997
6,B0005_10,7,2008-04-03 17:17:16,24,3.2937406695499014,-0.0034248271938185663,34.298284762513184,0.0,-0.0006,3650.828,1.83514614,2367.5000000000005
7,B0005_10,8,2008-04-03 21:28:14,24,3.3162307407741536,0.0017102389699127814,34.76224183630716,0.0,-0.0006,3572.453,1.82575679,2369.594
8,B0005_10,9,2008-04-04 01:38:15,24,3.297410935416153,-0.0010040523781800162,35.05182952791622,0.0,-0.0004,3550.594,1.82477385,2348.781
9,B0005_10,10,2008-04-04 05:48:08,24,3.2884044830952868,0.001261401409962675,35.02973666184703,0.0,-0.0006,3551.25,1.82461327,2349.282
10,B0005_10,11,2008-04-04 09:57:19,24,3.2662755750614747,0.000285051707969381,35.32247968803144,0.0,-0.0006,3530.25,1.82461955,2349.8430000000003
11,B0005_10,12,2008-04-04 17:56:27,24,3.2961998594630866,-0.0007757313952882699,35.59296016104038,0.0,-0.0006,3491.0159999999996,1.81420194,2331.375
12,B0005_10,13,2008-04-04 22:01:54,24,3.2717574155336004,-0.00047243835601775265,35.961272454905185,0.0,-0.0006,3470.281,1.81375216,2331.359
13,B0005_10,14,2008-04-05 02:20:26,24,3.264855084085025,-0.002505993199826211,35.86960969538033,0.0,-0.0006,3470.0,1.81344049,2331.14
14,B0005_10,15,2008-04-05 06:25:01,24,3.309111201518355,-3.782314130409493e-05,35.53204380823203,0.0,-0.0006,3450.297,1.802598,2312.2340000000004
15,B0005_10,16,2008-04-05 10:30:32,24,3.288149052868925,-0.0013593325342655855,35.810312891427124,0.0,-0.0006,3429.407,1.8021068999999998,2310.719
16,B0005_10,17,2008-04-05 14:34:41,24,3.2607541009035246,-0.0007935553983644743,36.24247715216247,0.001,-0.0006,3409.4840000000004,1.8025794999999998,2292.109
17,B0005_10,18,2008-04-05 18:39:25,24,3.2294668217844102,-0.004407893711816557,36.70221725120032,0.0,-0.0006,3390.422,1.80306831,2292.765
18,B0005_10,19,2008-04-05 22:46:35,24,3.224378894859077,-0.0018621257169797669,36.77890978053394,0.0,-0.0006,3390.281,1.80277762,2292.5779999999995
19,B0005_10,20,2008-04-18 21:10:19,24,3.2587403321633976,-3.5420680093982313e-05,34.934819111988894,0.0,-0.0006,3591.7340000000004,1.84702599,2389.4840000000004
20,B0005_10,21,2008-04-19 02:29:09,24,3.2180462147957645,0.0001519420551230391,36.06881902912957,0.0,-0.0006,3552.297,1.84741731,2390.234
21,B0005_10,22,2008-04-19 07:47:15,24,3.2573096268397737,-0.002765735473532053,35.571319573246996,0.0,-0.0006,3531.578,1.83617742,2370.953
22,B0005_10,23,2008-04-19 13:01:42,24,3.2802567474945943,-0.00019534889369944485,35.49553079146183,0.0,-0.0006,3492.907,1.82578075,2371.187
23,B0005_10,24,2008-04-19 18:27:29,24,3.279765451158692,-0.0019147055963251191,35.20943493671208,0.0,-0.0006,3511.594,1.82511364,2350.563
24,B0005_10,25,2008-04-19 23:41:55,24,3.2050689156049863,-0.00025691478503688745,36.507658591440936,0.0,-0.0006,3431.937000000005,1.8255815,2351.531
25,B0005_10,26,2008-04-20 04:54:41,24,3.276866922356563,0.0006643566078412767,35.87513759360321,0.0,-0.0008,3431.125,1.81403113,2331.625
26,B0005_10,27,2008-04-20 10:16:28,24,3.2311300277309924,-0.002598175553068463,36.32486455253682,0.0,-0.0006,3412.406,1.81476919,2350.782
27,B0005_10,28,2008-04-20 15:37:05,24,3.2220257725268318,-0.0001462630300855854,36.40687719604908,0.0,-0.0006,3410.688,1.81396939,2329.781
28,B0005_10,29,2008-04-20 20:50:38,24,3.290082793730788,-0.0040120550638096785,35.87417260042261,0.0,-0.0008,3410.718,1.80276567,2329.1410000000005
29,B0005_10,30,2008-04-21 02:15:02,24,3.2511761852414898,-0.0014514303266952755,36.405950713197655,0.0,-0.0006,3392.719,1.80407704,2312.703
30,B0005_10,31,2008-04-22 15:33:49,24,3.2492834823175447,-0.0014997014832476873,36.28230124882153,0.0,0.0006,3470.672,1.85180255,2351.578
